Original Sentence,Processed Sentence
a man sitting on a bench with his bicycle leaning against a railing .,A man sitting leaning on his bicycle.
a man sitting on a bench with his bike parked at the rail .,A man sitting with a bike parked on the rails.
a man sitting on a bench next to his bike .,The man was sitting.
a man is sitting on a bench behind a bike .,The man was sitting.
man sitting on a bench next to a bike .,The man was sitting.
two young men in black and white t-shirt are walking down the street with a girl in a pink shirt and patterned leggings .,skip_because_no_change
three people walk down the street with a camera in hand .,The three people with cameras in hand walked down.
two guys and a girl walking together in a busy street .,The guy and the girl walked together.
two men and a woman are walking down a city street .,Two men and one woman walked down.
two men and a woman walking together .,skip_because_no_change
a musician is playing an electric violin before an energy drink advertisement .,skip_because_no_change
a man playing what looks like a guitar with a bow like a violin .,skip_because_no_change
a long-haired man wearing a t-shirt playing an instrument .,skip_because_no_change
a violinist playing music in the new york subway .,The violinist plays music.
a man in a white shirt plays an electric violin .,skip_because_no_change
the streets of a chinatown look alike are lit with bright colors .,The streets look alike.
people are walking through an small corridor of asian shops .,People walking.
a woman and man walking down a street in an asian locale .,The women and the men walked down.
people are walking down a narrow shop-filled asian alley .,People walked down.
patrons are shopping though a chinese side market .,Patrons shop.
people walk through an asian market with red lanterns hanging from the rafters .,skip_because_no_change
an asian marketplace is open for business at night .,skip_because_no_change
a group of people are walking down an alleyway .,A group of people walked down.
people shopping in an outdoor asian market .,People shop.
a crowd of people on an asian style street .,crowd of people
a young woman holding a newborn in her arms while still wearing her hospital bracelet laying on a hospital bed .,skip_because_no_change
"a new mother in a hospital bed holding a newborn baby , making skin-to-skin contact .",New mother holding a new born baby and making skin to skin contact.
a topless woman cradles her newborn baby swaddled against her chest in the hospital .,A topless woman cradled a new baby swaddled against her chest.
a woman holds her newborn infant child .,skip_because_no_change
woman holding a baby in a hospital .,a woman holding a baby
two young children ( one boy and one girl ) are playing in the watter by a brick wall .,skip_because_no_change
a little boy and a little girl playing in a fountain .,Little boys and girls playing.
two children are standing in a small fountain pool .,Two children stood.
a small boy and girl wade in a water fountain,Small boys and girls waded in.
two toddlers are playing in a fountain .,Two toddlers playing.
a woman in blue dress in crossing the street while a person in bright yellow is riding their bike down it .,skip_because_no_change
a woman in a blue and white polka dotted dress is crossing the street in a busy city .,skip_because_no_change
a city street scene with the backs of a woman crossing the street and a bicyclist .,Scene with cross-dressing women and bicyclists.
a busy women in black and white color dress is crossing the road .,skip_because_no_change
pedestrians busy walking and shopping .,skip_because_no_change
an elderly dressed in a white shirt and black pants walks down a scenic path at a park .,skip_because_no_change
an old man in a white shirt and slacks is walking down a pathway through a park .,skip_because_no_change
an older gentlemen with dark pants and a white shirt walks through a park .,skip_because_no_change
an older man walks down the sidewalk of a park towards parking lot .,The older man walked into the parking lot.
an elderly man walks down the pathway in a park on a sunny day .,An elderly man walks down on a sunny day.
a young person dressed in a blue shirt and jeans passes by an asian supermarket on a motorcycle .,skip_because_no_change
a man in a blue shirt is riding a motorcycle near the supermarket .,skip_because_no_change
a man on a motorcycle rides past a large supermarket .,skip_because_no_change
a motorcyclist rides past an asian supermarket .,skip_because_no_change
a motorcyclist riding by a supermarket .,skip_because_no_change
an asian man wearing jeans and a plaid vest is walking down a city street wearing a backpack and carrying a white box .,skip_because_no_change
young man in a checkered jacket holding a white box and walking along a street .,A young man walking in a checkered jacket holding a white box.
a man in jeans and wearing a backpack carries a white box with handles .,skip_because_no_change
"a young man wearing a backpack is carrying a white , cardboard box .",skip_because_no_change
taking a bi of pastry home .,skip_because_no_change
a young girl wearing a striped skirt and fancy sandals poses for a picture .,skip_because_no_change
woman in a white shirt and black and white skirt sitting on a white bench .,"A woman sitting in a white shirt, black skirt and white skirt."
a red-haired woman sits on a bench in a striped skirt and brown shoes .,A red haired woman sits in a stripe skirt and brown shoes.
an asian girl sitting on a bench outside .,The Asian girl was sitting.
a woman is sitting on a white bench .,The woman sat.
the man in the red coat holds a subway wrapper close to his face .,skip_because_no_change
a man in a red jacket eating something in a subway wrapper .,A man in a red jacket eating something.
a man in a red jacket eats from a subway wrapper .,skip_because_no_change
an older man eating a subway sandwich .,skip_because_no_change
a man enjoys a sandwich from subway .,skip_because_no_change
"two white men and a black man , all wearing jeans and a black t-shirt , are sitting on a bench with sandwich and drink .",skip_because_no_change
two white-skinned and one dark-skinned man are sitting side by side in jeans and black shirts .,skip_because_no_change
three men sitting a cement bench and a brick wall behind them .,Three men were sitting.
three men sit on a bench taking a break from their work .,Three men were sitting on breaks from work.
three men sitting on a bench during a work break .,Three men were sitting on a work break.
two middle-aged white women stare at a collection of bicycles .,skip_because_no_change
two women are looking at several bicycles lined up .,skip_because_no_change
two women are looking at a bunch of bicycles .,skip_because_no_change
two women stand near a group of bicycles .,Two women stood.
bike are being displayed in the street .,The bike display.
a man with an apron appears to be preparing some food in a red container .,It appears that the man with the apron prepared some food.
a middle-aged man with dark hair who is cooking and wearing a red apron .,skip_because_no_change
a man in a red striped shirt and vest making food for sale .,skip_because_no_change
"an asian man wearing a red apron , prepares food .",skip_because_no_change
an asian man is cooking with a red bowl n,skip_because_no_change
"two young , blond brothers have their arms spread , one behind the other amidst a field of grass .",The arms of two young blonde brothers were spread.
two children lined up outside in a grassy field with their arms stretched out to the sides .,"Two children lined up, stretching their arms out to the side."
"two children , standing among grass , are putting their arms out and are smiling .",Two standing children put their arms out and smiled.
two kids in a field with their arms out pretending to be airplanes .,"Two kids pretending to be airplanes, out of their arms."
two brothers posing for a picture during the sunset .,skip_because_no_change
"red stone sidewalk lined by buildings and parked cars , with a person sitting on a bench .",There is a red stone sidewalk lined with buildings and parking cars where people sit.
a person with a blue shirt and pants sitting on a bench outside .,People in blue shirts and pants sat.
a young man sits on a bench in a downtown setting .,The young man was sitting.
a man sits beside parked cars on a city street .,The man was sitting.
a woman is sitting on a bench by stores .,The woman sat.
two people jogging with water on one side and green leafy trees on the other .,Two people jogged with water and a green leafed tree.
two people jogging together near the waterside .,skip_because_no_change
man and woman jogging down beachfront .,The man and woman jogged down.
two people jogging on the peer .,skip_because_no_change
two joggers near a river .,skip_because_no_change
a woman enjoying a sucker is looking out over a railing .,skip_because_no_change
a girl is eating a lollipop in front of a building .,The girl ate a lollipop.
a girl holds a red lollipop in front of a building .,The girl held a red lollipop.
a woman is eating a sucker outside of a building .,The woman ate the sucker.
woman looking out from an overlooking building .,skip_because_no_change
"a group of people of all ages is standing around a sign that says "" bienvenue welcome , "" and the individuals in the foreground are jumping in the air with their hands raised .",And the group of all ages stood.
"people from infants to the elderly seem excited as one woman in a yellow shirt jumps off the ground in front of a sign saying "" bienvenue welcome "" .","One woman in a yellow shirt seemed excited to jump from the ground, among them infants and the elderly."
"a group of people is jumping and smiling in a forest in front of a sign that says "" bienvenue welcome "" .",The group of people jumped and smiled.
"there is a large crowd of people standing outside under a sign that says "" bienvenue welcome "" .",A large crowd of people stood under a welcome sign.
a group of campers are excited to welcome people to their camp .,The group of campers were excited to welcome people.
two women sitting at a lunch table with papers and books on the table laughing .,Two women sitting with paper and books laughing.
"two women , one holding a plaque , one wearing a name badge , in a diner .",skip_because_no_change
two women are enjoying each others company .,skip_because_no_change
two women smile while sitting at a table .,The two women smiled as they sat.
a group of ladies at a meeting .,skip_because_no_change
children in orange and neon green play soccer as their coach watches .,skip_because_no_change
<number> kids soccer teams playing with coach in the background watching .,A number of kids soccer teams played with coaches watching.
four girls are playing soccer while an adult looks over them .,skip_because_no_change
little girls having a soccer match and a man watching .,skip_because_no_change
four girls playing soccer while the coach looks on .,skip_because_no_change
"two people in striped work uniforms sit at a small table , one of them resting his head on his arms .",skip_because_no_change
two men in black and white striped shirt 's sitting at a table in diner .,skip_because_no_change
two men in white and black striped shirts sit at a table .,skip_because_no_change
two men wearing striped strips sitting at a table .,Two men in stripe sat on the floor.
two people in striped shirts sitting at a table .,Two people in stripe shirt sit.
a person stands alone in a large ditch with an overpass in the background .,The overpasses stood alone.
an individual walking by a bridge and a factory .,Individual walks.
a person walks along a trail towards a bridge .,People walked to the bridge.
a person is walking by the bridge .,People walking.
strolling down path to nowhere .,skip_because_no_change
a man wearing a striped blue shirt and a turban sits before an ancient brick building while a woman wearing a pink blouse and hijab walks past .,But a man in blue stripes shirt and turban sat there.
a man in an orange turban is standing in front of a basket containing a pack of marlboro reds and other small objects .,A man in an orange turban stood.
in the middle east a man sits with some possessions while a woman walks away .,A man sits with some possessions while a woman walks.
a man in a turban walking behind someone in a pink shirt .,A man in a turban walks.
a man is sitting and a female is walking .,skip_because_no_change
small oriental girl trying to look through a telescope with eyes closed .,skip_because_no_change
a little girl is squinting and looking into a lens .,skip_because_no_change
a baby is looking into what looks like a telescope .,skip_because_no_change
a little girl is trying to look in the viewer .,skip_because_no_change
a little girl looking through a telescope .,skip_because_no_change
tourists look at merchandise on a street vendors display in england riffling through cards and maps .,skip_because_no_change
several individuals look over different items on a english newspaper stand .,Several individuals looked over different items.
tourists are shopping at a british gift stand .,Tour shoppers.
a busy outdoor kiosk to sell items .,There are busy kiosks selling items.
a stand sells souvenir items .,skip_because_no_change
"beside a long dock going out into a lake , several people swim and enjoy the water .",Several people swam and enjoyed the water.
some people in the water and one person standing on the boardwalk .,Some people and one person standing.
a large dock runs into a lake next to a group of people swimming .,The large dock runs into the lake.
people swim in the water near a long dock .,skip_because_no_change
people playing in water beside a dock,People are playing.
a woman in a university of rottingham hoodie playing with a little boy in a blue and white shirt .,a woman playing with a little boy in a blue hoodie and white shirt.
a woman in a university of nottingham hoodie playing with a boy outside .,a woman playing with a boy
a woman in a university of nottingham sweater playing with a child .,a woman playing with children in a sweater
a woman swings a child in front of some houses and a large hill .,The woman swings at the child.
a woman swinging a child around .,skip_because_no_change
an asian child leans against green metal in front of a large dirt pile .,Asian children lean on.
a small child outside in front of a large dirt pile .,Small children.
a person walking uphill from a construction zone .,People walking.
a young boy stands next to a large pile of dirt .,The young boy stood.
a young child walking away from a pile of dirt .,Young children walking.
two adults stand with five young children directly outside of a building .,skip_because_no_change
some children are coming out to play in a courtyard .,Some children came out to play.
young children stand outside on a dirt surface .,Young children stand.
several children are gathered around a door .,Several children were gathered.
a poor village in mexico .,Poor villages.
a little boy dressed in gray and wearing a large watch lies on a table and watches another boy wearing a green hat coloring in a book .,skip_because_no_change
"a child is lying on the floor drawing a picture of a girl , with two other children looking on .",skip_because_no_change
two young children in gray clothing are coloring with pencils .,skip_because_no_change
two children at a table have a coloring book .,The two children have color books.
children reading a work book together .,skip_because_no_change
group of people sitting around a table next to meat hanging on hooks and laid out on a table .,A group of people sat down.
men in short-sleeved shirts are gathered around a table in a meat shop .,A man in short sleeves was gathered.
a group of asian men and an asian woman are relaxing in a butcher shop .,The group of Asian men and women relaxed.
five asian men eat at a table next to meat on meat hooks .,Five Asian men ate with a z7 hook.
workers at meat market share a meal .,skip_because_no_change
a man in a blue-green shirt walking by a building with a poster of a woman in a black dress .,skip_because_no_change
an advertisement on the side of a green building with a man in a blue shirt walking nearby .,The advertisement was with a man walking in a blue shirt.
a man in a green shirt and gray pants walking on a street and passing by a store .,A man walking by a store in green shirt and gray pants.
a man wearing a blue shirt and khaki pants is walking down the sidewalk .,skip_because_no_change
a man in a blue shirt walking near an old building with a poster on it .,A man in blue shirt with posters walked near an old building.
a man in a nun costume has a cigarette in his mouth .,The man in a nun costume had a cigarette.
a man dressed as a nun has a cigarette in his mouth .,The man in nun dress had a cigarette.
a man dressed as a nun smoking a cigarette .,skip_because_no_change
man with cigarette in nun outfit .,skip_because_no_change
male nun smoking a cigarette .,skip_because_no_change
an elder man wearing black shorts and no shirt on a beach is holding a bottle that 's in a brown bag while lifting his other hand toward a blue towel that is in front of a shirtless man standing next to the man wearing black shorts .,"The elder man, in black shorts and no shirt, held the bottle as he lifted the other hand toward the blue towel."
two men are shirtless on the beach on a beautiful day .,"On a beautiful day, the two men were shirtless."
several individuals are gathered on the beach .,Several individuals gathered.
two shirtless men walking on a crowded beach .,Two men with no shirt walked.
two fat white males are standing at the beach,Two fat white males stood.
cyclist participating in an organized event cross a large suspension bridge and two women riders have stopped to pose for a picture .,skip_because_no_change
two female bikers pose on a bridge as other riders travel by in a marathon .,Two female cyclists pose as other riders travel marathons.
a big group of bicyclist are riding around on a large bridge .,skip_because_no_change
women posing for a picture during a bicycle race on a bridge .,a woman posing for pictures during a race.
there are many participants in this bike race .,There are many participants in this race.
a yellow vehicle stops for pedestrians as they cross the street on a sunny day .,skip_because_no_change
some people crossing the street with a yellow vehicle in the background .,Some people crossed the street with yellow vehicles.
woman and child crossing street .,skip_because_no_change
people are crossing the signal .,skip_because_no_change
people crossing a busy street .,skip_because_no_change
a man of perhaps indian descent is standing in an outdoor market in front of a variety of produce .,A man who may have been of Indian descent stood.
man in red and white striped shirt points left while standing near a display of produce .,skip_because_no_change
a man stands in a market amongst vegetables and t-shirts pointing to his left .,skip_because_no_change
a man stands in front of a vegetable display .,The man stood.
a man who appears to be buying vegetables .,skip_because_no_change
a brown dog wearing a collar is chasing and biting on a red broom .,skip_because_no_change
a tan dog bites on a broom as it moves over the brick floor .,skip_because_no_change
a dog biting the cleaning end of a broom .,skip_because_no_change
a tan dog chewing on a broom .,skip_because_no_change
a dog is biting a mop .,skip_because_no_change
"a blue automobile with european license plate , parked under a skinny white umbrella , in front of a crowd of people .",Blue automobile with European license plate parked under a skinny white umbrella.
a blue car drives past a group of people standing under an umbrella .,A blue car drove past a group of stand-ins.
a blue car in front of people under a tent .,Blue car.
people walking outside past a blue vehicle,People walked past a blue vehicle.
a green car parked near a crowded space .,skip_because_no_change
a group of people are walking and standing in front of a mural with a woman on a ladder on it .,A group of people walked and stood with a woman on a ladder.
people mill around a square dominated by an over-sized display of a girl on a ladder .,People milled around a square dominated by an over-sized display of girls.
a crowd of people is gathered below a large mural of a woman on a step-ladder .,A crowd of people gathered.
a large crowd standing in front of a very large painting .,A large crowd stood.
some people walk on the street near a very large mural .,Some people are walking.
"a trio of male musicians are performing with one playing a guitar and singing into a microphone , another holding a harmonica , and the third playing a bass guitar .",skip_because_no_change
a group of musicians playing some music in front of a building .,Some music is played by a group of musicians.
a man is singing into a microphone while playing a guitar .,skip_because_no_change
a band sings and play their guitar .,skip_because_no_change
a group of musicians performing .,skip_because_no_change
a young woman with bare feet on a crowded road looking down while many people are walking by and some are sleeping and a young man in a black shirt with yellow writing is looking at the people who seem to be sleeping .,"Young women with bare feet looking down the crowded road as many people walked and some were asleep, young men in black shirts with yellow writing looked like they were sleeping apparently."
a girl in a black tank with cargo shorts to what appears to be dancing with several people around .,A girl who apparently danced with several people.
"a young woman , scantily dressed and wearing a red bandanna , is dancing barefoot on the sidewalk .",A young woman in scanty dress in a red bandanna danced barefoot.
this bandana clad woman is looking down at something while people are all around her .,skip_because_no_change
a woman with a black shirt and wearing a red bandanna is dancing .,skip_because_no_change
a violin player with a painted face is playing in front of a crowd .,The violin player plays a painted face.
a man with glasses wearing a tie plays the violin .,skip_because_no_change
a clown in a white shirt and tie playing a violin .,skip_because_no_change
a violinist plays as he is decorated as a clown .,skip_because_no_change
a man with a painted face plays his violin .,skip_because_no_change
a boy in a black shirt and red wristbands hanging upside down while other people look on .,skip_because_no_change
a man hangs upside down in a busy park as three people are clearly seen looking at him .,skip_because_no_change
a man is doing a somersault wearing a black shirt and red sweatbands .,skip_because_no_change
an upside down man in a black shirt with red wristbands .,skip_because_no_change
a man is upside down in the air .,skip_because_no_change
a woman in blue wearing glasses holds up a blue and white striped shirt to a boy wearing yellow who also has glasses .,skip_because_no_change
a boy in a yellow shirt is looking down while a lady in a blue shirt holds a shirt up to him to see if it fits .,skip_because_no_change
"two people , a dark color skin woman and a light skin color boy are shopping at a clothing store .",skip_because_no_change
a woman is holding a striped shirt in front of a young boy with glasses .,The woman held a stripe shirt.
a woman sees what a striped shirt would look like on a boy in yellow .,skip_because_no_change
a man in suit and tie is sitting in an otherwise empty outdoor dining area .,A man in a suit and tie sat down.
a man in a suit is sitting outdoors and is using his laptop computer .,A man in a suit sat and used a laptop computer.
man using a laptop at a table in an empty outdoor dining area .,a man using a laptop
a man is working on a laptop computer in an open air cafe .,The man worked on a laptop computer.
a man in a blue suit sits at a table with a laptop .,A man in a blue suit sat with a laptop.
a man is walking on a paved surface backdropped by a large art mural .,The man walks.
a man walking in front of a colorful mural on a brick road .,The man walks.
a man is walking down the street next to a colorful wall .,The man walked down.
a man walking in front of a colorful wall mural .,The man walks.
a man is walking near a very colorful wall .,skip_because_no_change
two brown dogs running and playing on a beach .,Two brown dogs ran and played.
two brown dogs are running on the sand .,Two brown dogs ran.
two brown dogs running together on sand,Two brown dogs ran together.
two dogs run on the beach .,Two dogs ran.
two brown dogs on the sand,Two brown dogs.
"three men outside in a field , and one is doing an obscure pose .",Three men and one man pose obscurely.
three men playing outside on a flat field .,Three men played.
the three men are playing with a frisbee .,skip_because_no_change
three guys playing outside acting silly .,The three guys played silly.
three guys are playing in a field .,Three guys played.
a boy is kissing a girl while sitting near a lake and a tree .,The boy kissed the girl while she sat.
a young girl and boy kids under a tree along the waterside .,a young girl a young boy
a young couple kisses on the grass in front of water .,The young couple kissed.
"two people sit in front of a lake , kissing .",The two sat kissing.
a boy and girl are kissing by a lake .,The boy kissed the girl.
a man in a bright orange shirt is standing in the middle of a group of people .,A man stood in bright orange shirt.
a birds-eye view of people standing around holding their drinks .,A birds eye view of the people holding their drinks.
a man in a tight orange shirt is surrounded by many people .,skip_because_no_change
this is an aerial view of people drinking beer at a party .,This is an aerial view of beer drinkers.
a few people are sitting around having a drinks .,A few people sat to drink.
"with a beautiful blue sky and green mountains in the background , a man in blue shorts and a blue shirt wades through the shallow , clear waters carry something white .",skip_because_no_change
a man in a blue shirt walks between rocks in shallow water near a scenic tropical beach .,A man in blue shirt walked.
man with fishing nets walking out to sea near some islands .,A man with a fishing net walked out near some islands.
a man is walking through the water with a fishing net .,The man walked with a fishing net.
a man wading through water with a net .,A man wading in the net.
a man in a black sweater is walking along a railroad track .,A man in a black sweater walked.
the young man is trying to balance on the train tracks .,The young man tried to balance.
a kid with a backpack walking on the railroad tracks .,The kid with the backpack walked.
a young man wearing jeans balances on a train track .,The young man in jeans was balanced.
a man is standing on one feet on a bridge .,The man stood a foot.
an older gentleman is sitting in a dark room with little light at a white small table and chairs .,The older gentleman sat with a little light.
a man in white studies at a white table with a white chair in an empty room .,A white man studied with a white chair.
a man sitting at a white plastic table in the shadows .,The man is sitting in the shadows.
"a man in a white shirt sits at a table , reading .",A man in white shirt sitting reading.
a man sitting alone at a small table reading .,A man sitting alone reading.
"two young men walk toward the camera , with the redheaded man on the left turning his head to look back at three women in the background who are walking away in the other direction .",Two young men were walking with a redhead man on the left turning his head to look back at the three women who had walked away the other direction.
a young man walking with another young man glances back at three girls they just passed,skip_because_no_change
"two men walking , one of which is looking back and the other looking directly ahead .",skip_because_no_change
a young man wearing a blue jacket is turning his head .,skip_because_no_change
two young people walk down a sidewalk in jackets .,Two young people in a jacket walked down.
several people which appear to be friends stopping to take a picture .,skip_because_no_change
a group of people riding a walking belt at the airport .,A group of people rode walking belts.
six men in airport standing on moving walkway,Six men stood.
a group of men are riding a moving walkway .,skip_because_no_change
six men ride on a moving sidewalk .,skip_because_no_change
man with blue plaid shirt and white pants skateboards through a building that has graffiti art,skip_because_no_change
a man skateboards in front of a graffiti painted wall .,The man skateboarded.
a guy riding a skateboard in front of a graffiti wall .,a guy who skateboards
a man is skateboarding past a graffiti covered wall .,The man skateboarded.
a man skateboarding in front of graffiti .,a skateboarder
a girl dressed in a black shirt sits on a curb next to a man in a white shirt while others gather around a green statue in the square .,A girl dressed in black shirt sat at the table while others gathered.
man and women sitting on the steps in the evening with many pillars around them .,The men and women sat in the evening with many pillars.
a couple are sitting and looking at a green colored statue .,skip_because_no_change
a crowd of people gathers around a green statue .,A crowd of people gathered.
this is nice place to relax and chat .,This is a nice place to relax and chat.
a woman in a blue tank top and shorts with a concerned look on her face sits on a bench holding a baby and a cellphone .,A woman in blue tank tops and shorts sat looking concerned.
a woman in shorts and a blue tank top is sitting outside on a bench with a baby .,skip_because_no_change
a black woman sits on a bench with her child while holding a phone .,skip_because_no_change
a woman with her child is waiting on a bench .,The woman waited with her child.
a woman sitting on a bench with her child .,a woman sitting with her children
"several people sitting , standing or descending high , wide set of white , outside stairs .","Several people were sitting, standing, or descending, or in a wide high set of white people."
a group of people sit and walk on a set of stairs .,A group of people sat and walked.
people sitting in groups on white concrete stairs .,The group sat.
people sitting on a set of bleachers .,Sitter.
random people in the stands .,Random people.
"a man with a black hat and blue and white shirt standing near a stand full of hats , scarves , nesting dolls outside .",skip_because_no_change
a man in a black hat sells russian hats and tourist goods at an outdoor stand .,A man in a black hat sold a Russian hat and a tourist's good.
"an outdoor vendor with a table full of hats , dolls and jewelry .","The vender had a table full of hats, dolls and jewelry."
a man in a black hat and plaid shirt sells hats on the street .,skip_because_no_change
a man is vending an assortment of hats .,skip_because_no_change
an older man in a purple shirt sitting on a bench with his foot on a pole .,The older man in a purple shirt with a foot sat.
an elderly man is sitting on a bench with his foot propped up on a tree .,An elderly man sat propped up his foot by a tree.
a man sits on a part bench with his foot up against a tree .,The man sat up his foot against a tree.
a group of elderly men sitting on a bench indoors .,A group of elderly men sat around.
people sitting next to trees on a bench .,People are sitting there.
"young woman playing the violin , staring into the camera .",skip_because_no_change
a pretty young woman with brown hair playing a violin,skip_because_no_change
a woman smiles at the camera while playing violin .,skip_because_no_change
a woman with short hair is playing the violin .,skip_because_no_change
a woman plays her violin outside .,The woman played her violin.
a bald man in a black shirt and sunglasses plays a large stringed instrument outside .,skip_because_no_change
a man in ray-ban sunglasses and a black v-neck holds a stringed instrument .,skip_because_no_change
a man wearing a black t-shirt and sunglasses holds the neck of a bass .,skip_because_no_change
a bald man wearing glasses and a black shirt holing an instrument .,skip_because_no_change
a man in dark glasses holds a cello .,skip_because_no_change
a man wearing a blue shirt and dark pants is riding a bicycle and is approaching an intersection .,skip_because_no_change
a bearded man in a blue shirt rides a bike down a tree lined street .,skip_because_no_change
the man in the blue shirt is riding his bike down the street .,skip_because_no_change
a man in a blue shirt is riding in a bicycle on the street,A man in blue shirt rode a bicycle.
a man in a blue shirt is riding a bike .,skip_because_no_change
a blond women in a dress carrying a white purse walks past a window front .,skip_because_no_change
a blond woman in a white and tan dress walking past empty glass windows .,A blonde woman walking in white and tan dresses.
a woman holding a white purse walking by a glass building .,a woman walking with a white purse
a girl is walking by a window with a purse .,The girl with the purse walked.
a woman walks alone in the street .,The woman alone walked.
four adults and a little blond girl walk up a set of outside stairs lead by a lady in a pink shirt .,Four adults and a little blonde girl walked up.
five people walking up a set of stairs led by a woman in a pink shirt and brown skirt .,Five people walked.
a group of people walking up stairs surrounded by buildings covered in graffiti .,A group of people walked around a building covered in graffiti.
a woman wearing a p blouse walks up a flight of stairs .,skip_because_no_change
people climbing up stairs with graffiti behind them .,People climbing up the stairs with graffiti.
"a band performs beneath colorful stage lights , the bass player singing into the microphone while the guitarist and drummer play in the background .",The band performed while the bassist sang while the guitarist and drummer played.
"a man playing a bass guitar , a man playing an electric guitar , and a man playing drums are on a stage .","A man who plays bass guitar, an electric guitar and a man who plays drums."
two men playing guitars are in a building with a stage and lights .,Two men playing guitar.
two men with electric guitars perform on stage .,The performance was by two men on an electric guitar.
a band plays a gig to a crowd .,skip_because_no_change
a group of eight dancer both male and female dressed in casual shirts and pants are seen jumping in midair .,The group of 8 dancers dressed in both male and female casual shirts and pants were seen jumping.
a group of people are completing a move with their heads slightly lowered and their arms bent and up .,skip_because_no_change
a troupe of dancers is in the middle of a jump on a stage .,skip_because_no_change
several people are jumping in the air together on a stage .,Several people jumped together into the air.
stage dancers practicing their jumping routine .,Dancers practice their jump routines.
three women security officers showing off their awesome sunglasses .,skip_because_no_change
three people in security badges and hats stand next to each other .,Three people in security badges and hats stood.
women security officers standing in a group with sunglasses on .,skip_because_no_change
female police officers wearing sunglasses .,skip_because_no_change
<number> security woman with sunglasses walking,skip_because_no_change
a large group of men in scottish outfits are playing bagpipes .,skip_because_no_change
bagpipers in traditional scottish garb march down a street .,skip_because_no_change
scottish bagpipe players are performing on the streets .,Scottish bagpipe player performs.
scottish men in formal attire play the bagpipes .,skip_because_no_change
a group of scottish bagpipers walk down a path .,A group of Scottish bagpipers walked.
a blond-haired woman and her friend are buying some items from the man in the white t-shirt while the other blond woman stands near the baby stroller .,skip_because_no_change
two woman with a stroller purchasing something from a man in a white t-shirt .,skip_because_no_change
"two women buying items from a street vendor , at an outside marketplace .",Two women bought the item from a vender.
a man in a white shirt is accepting payment for food from two women .,skip_because_no_change
two women exchange money for goods with a man at the market .,Two women exchanged money for goods for men.
a very busy market street with lots of people looking at different things .,It's a very busy market street where lots of people look for differences.
the woman in the red pant suit and white hat is selling her produce .,skip_because_no_change
people are walking through a vegetable stall filled market .,People walking.
different kind of people roaming around in a public market,Different kinds of people roam.
a group of people at an outdoor fruit market,a group of people
"a large group of men , women , and children gather on a lawn for a concert .","A large group of men, women and children gathered for the concert."
a large group of people are sitting on a lawn watching something .,A large group of people sat watching something.
a large number of people are sitting in a green field .,A large number of people are sitting there.
a crowd is gathered outside watching a performance .,A crowd gathered to watch the performance.
a crowd of people sitting on a lawn clapping .,A crowd of clapped-up sitting people.
"a man in a gray suit walks down a stone corridor , carrying a briefcase .",skip_because_no_change
a man in a business suit strolls beneath a covered walkway .,A man in a business suit strolled by.
four people are depicted inside a cathedral-like building .,depicting four people.
a man in a suit is walking through an archway .,A man in a suit walked.
people visiting a historical building .,skip_because_no_change
a fat man is listening to headphones sitting on his motorcycle,The fat man sitting listened to the headphone.
a person with headphones is riding a bike with a basket .,skip_because_no_change
the shirtless man is sitting on his motor scooter .,The man was sitting in a t-shirt.
a man with no shirt sits on a black moped .,A man with no shirt sat there.
a man with no shirt sitting on a moped .,A man with no shirt sat there.
a little girl with a woman that is bending over painting chinese symbols on the cement .,skip_because_no_change
the little girl is watching the lady write on the ground .,Little girl watching the lady write.
young asian girl and old man look down at marked ground .,skip_because_no_change
a woman is helping a girl draw a symbol in the stones .,Women help girls draw symbols.
an asian girl is watching the ground .,skip_because_no_change
man wearing a black and red striped shirt taking a photo next to a lion statue .,skip_because_no_change
older gentleman with striped polo smiles as he stand next to a lion sculpture .,skip_because_no_change
a man in a red and blue striped shirt posing next to a statue of a lion .,A man in a pose in red and blue stripes.
a man is standing next to a large black lion statue .,The man stood.
a man poses next to a lion statue .,The man poses.
"a man with a full head of hair and wearing a backpack , shirt , black slacks and dress shoes is walking out of "" new york dolls gentlemen 's club . """,skip_because_no_change
a woman in black pants crosses a busy sidewalk in front of a gentlemen 's club .,A woman in black pants crossed a busy sidewalk.
a man in black slacks leaves the new york dolls gentlemen 's ' club .,skip_because_no_change
"gentlemen leave their club titled "" new york dolls . """,skip_because_no_change
a man is exiting a gentleman 's club .,The man exited.
a young girl with long blond is standing in a field holding a big white and yellow ball .,skip_because_no_change
a young girl is holding a yellow and white ball in a green grass field .,The young girl held a yellow and white ball.
a young blond girl holds a beach ball in the middle of a grass field .,Young blonde girl holding beach balls.
a girl stands on an open field holding a large ball .,skip_because_no_change
young girl carrying a beach ball on a grassy field .,The young girl carried a beach ball.
"kids walking on the street , one blond girl wearing a white outfit drinking from a straw , one brown-haired girl in white shorts and dark top , turned around , holding her cellphone .","A walking kid, one blonde girl in white outfit drinking straws, one brown haired girl in white shorts and dark tops."
a young girl wearing a white jumper drinks from a straw while other girls congregate behind her .,Young girls in white jumpers drink with straws while other girls congregate.
kids hanging out with drinks in their hands .,skip_because_no_change
four girls are walking down the sidewalk .,Four girls walked down.
three young girls walk down a sidewalk .,Three young girls walked down.
"male in brown leather jacket and black slacks , looking down at his phone , leaning against a brown painted box .",The male leaning down at his phone.
